,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
304,296,Mo Alie-Cox,IND,26,TE/te,16,2,11,8,72.7%,93,11.6,0,5,21,8.5,0.5,5.8,0
306,298,Blake Bell,KAN,28,TE/te,15,7,15,8,53.3%,67,8.4,0,3,30,4.5,0.5,4.5,0
307,299,Antonio Callaway,CLE,22,WR/wr,4,2,15,8,53.3%,89,11.1,0,3,41,5.9,2.0,22.3,0
309,300,Tyler Conklin,MIN,24,TE/te,15,1,10,8,80.0%,58,7.3,0,2,20,5.8,0.5,3.9,0
311,302,Hale Hentges,WAS,23,TE/te,11,4,14,8,57.1%,103,12.9,1,6,24,7.4,0.7,9.4,0
312,303,Justice Hill,BAL,22,RB,16,0,15,8,53.3%,70,8.8,0,5,14,4.7,0.5,4.4,0
313,304,Chris Hogan,CAR,32,WR/wr,7,1,15,8,53.3%,67,8.4,0,3,13,4.5,1.1,9.6,0
314,305,Jesper Horsted,CHI,22,TE/te/WR,6,1,10,8,80.0%,87,10.9,1,4,20,8.7,1.3,14.5,1
315,306,Rashaad Penny,SEA,23,RB,10,0,11,8,72.7%,83,10.4,1,3,30,7.5,0.8,8.3,1
317,308,Luke Stocker,ATL,31,TE,15,9,14,8,57.1%,53,6.6,0,2,18,3.8,0.5,3.5,1
318,309,Tommy Sweeney,BUF,24,TE/te,6,1,13,8,61.5%,114,14.3,0,4,29,8.8,1.3,19.0,0
319,310,Ryan Switzer,PIT,25,WR,9,0,11,8,72.7%,27,3.4,0,2,8,2.5,0.9,3.0,1
320,311,Luke Willson,SEA,29,TE/te,8,7,10,8,80.0%,79,9.9,0,5,17,7.9,1.0,9.9,0
321,312,Brandon Zylstra,CAR,26,WR,8,0,12,8,66.7%,106,13.3,0,5,40,8.8,1.0,13.3,1
322,313,Daniel Brown,NYJ,27,TE/te,16,5,11,7,63.6%,72,10.3,1,4,24,6.5,0.4,4.5,0
324,315,Gus Edwards,BAL,24,RB/rb,16,1,7,7,100.0%,45,6.4,0,2,10,6.4,0.4,2.8,2
325,316,Myles Gaskin,MIA,22,RB,7,0,12,7,58.3%,51,7.3,0,2,20,4.3,1.0,7.3,0
326,317,Derrius Guice,WAS,22,RB/rb,5,1,9,7,77.8%,79,11.3,1,2,45,8.8,1.4,15.8,0
327,318,Marvin Hall,DET,26,WR,9,0,11,7,63.6%,261,37.3,1,7,58,23.7,0.8,29.0,0
329,320,Bilal Powell,NYJ,31,RB/rb,13,1,12,7,58.3%,33,4.7,0,0,9,2.8,0.5,2.5,0
330,321,Durham Smythe,MIA,24,TE,16,14,14,7,50.0%,65,9.3,0,2,24,4.6,0.4,4.1,0
332,323,Jordan Wilkins,IND,25,RB/rb,14,1,11,7,63.6%,43,6.1,0,1,11,3.9,0.5,3.1,0
333,324,Kenjon Barner,ATL,29,RB,14,0,8,6,75.0%,22,3.7,0,1,13,2.8,0.4,1.6,4
334,325,Travis Benjamin,LAC,30,WR/wr,5,2,16,6,37.5%,30,5.0,0,3,13,1.9,1.2,6.0,0
335,326,Braxton Berrios,NYJ,24,WR,16,0,13,6,46.2%,115,19.2,0,3,69,8.8,0.4,7.2,1
336,327,Reggie Bonnafon,CAR,23,RB,16,0,9,6,66.7%,57,9.5,0,1,32,6.3,0.4,3.6,0
337,328,Devontae Booker,DEN,27,RB,16,0,9,6,66.7%,57,9.5,0,1,25,6.3,0.4,3.6,0
338,329,Ben Braunecker,CHI,25,TE/te,11,3,11,6,54.5%,59,9.8,1,5,18,5.4,0.5,5.4,0
340,330,Trey Edmunds,PIT,25,RB/TE,11,0,7,6,85.7%,48,8.0,0,2,11,6.9,0.5,4.4,0
341,331,Troy Fumagalli,DEN,24,TE/te,11,5,9,6,66.7%,38,6.3,1,1,9,4.2,0.5,3.5,0
342,332,Deonte Harris,NOR,22,WR/wr,14,1,6,6,100.0%,24,4.0,0,2,13,4.0,0.4,1.7,3
344,334,Ryan Izzo,NWE,24,TE/te,6,4,9,6,66.7%,114,19.0,1,4,41,12.7,1.0,19.0,0
345,335,Richie James,SFO,24,WR/wr,16,1,10,6,60.0%,165,27.5,1,5,57,16.5,0.4,10.3,1
346,336,D'Ernest Johnson,CLE,23,RB,16,0,7,6,85.7%,71,11.8,0,1,27,10.1,0.4,4.4,0
347,337,Tyler Kroft,BUF,27,TE/te,11,3,14,6,42.9%,71,11.8,1,5,20,5.1,0.5,6.5,0
348,338,Zach Line,NOR,29,FB/fb/RB,12,2,10,6,60.0%,36,6.0,0,1,12,3.6,0.5,3.0,0
349,339,Andre Patton,LAC,25,WR/wr,13,5,17,6,35.3%,56,9.3,0,4,15,3.3,0.5,4.3,0
350,340,MyCole Pruitt,TEN,27,TE,16,10,8,6,75.0%,90,15.0,1,4,42,11.3,0.4,5.6,0
351,341,Riley Ridley,CHI,23,WR,5,0,7,6,85.7%,69,11.5,0,4,32,9.9,1.2,13.8,0
352,342,Diontae Spencer,DEN,27,WR/wr,16,2,8,6,75.0%,31,5.2,0,1,20,3.9,0.4,1.9,3
353,343,Darren Sproles,PHI,36,RB/rb,6,1,10,6,60.0%,24,4.0,0,1,7,2.4,1.0,4.0,1
354,344,Marcell Ateman,OAK,25,WR,11,0,10,5,50.0%,116,23.2,0,4,36,11.6,0.5,10.5,1
355,345,Stephen Carlson,CLE,23,TE/te,9,5,7,5,71.4%,51,10.2,1,2,21,7.3,0.6,5.7,0
358,348,David Njoku,CLE,23,TE/te,4,1,10,5,50.0%,41,8.2,1,3,18,4.1,1.3,10.3,0
359,349,Drew Sample,CIN,23,TE/te,9,2,6,5,83.3%,30,6.0,0,1,21,5.0,0.6,3.3,0
360,350,Devin Smith,DAL,27,WR/wr,4,2,9,5,55.6%,113,22.6,1,4,51,12.6,1.3,28.3,0
361,351,Spencer Ware,KAN,28,RB/rb,3,1,7,5,71.4%,22,4.4,0,1,18,3.1,1.7,7.3,1
362,352,Jonathan Williams,IND,25,RB/rb,9,1,5,5,100.0%,59,11.8,0,3,31,11.8,0.6,6.6,0
363,353,Cedrick Wilson,DAL,24,WR,6,0,8,5,62.5%,46,9.2,0,2,14,5.8,0.8,7.7,0
365,355,Khari Blasingame,TEN,23,FB/fb/RB/rb,6,3,5,4,80.0%,54,13.5,0,2,24,10.8,0.7,9.0,0
366,356,Antonio Brown,NWE,31,WR,1,0,8,4,50.0%,56,14.0,1,3,20,7.0,4.0,56.0,0
368,358,Michael Crabtree,ARI,32,WR/wr,2,1,5,4,80.0%,22,5.5,0,0,9,4.4,2.0,11.0,0
369,359,Ryan Grant,OAK,29,WR/wr,2,1,9,4,44.4%,14,3.5,0,1,9,1.6,2.0,7.0,0
371,360,Darrell Henderson,LAR,22,RB,13,0,6,4,66.7%,37,9.3,0,1,14,6.2,0.3,2.8,0
372,361,Rashard Higgins,CLE,25,WR/wr,10,1,11,4,36.4%,55,13.8,1,3,35,5.0,0.4,5.5,0
373,362,KhaDarel Hodge,CLE,24,WR/wr,16,1,10,4,40.0%,76,19.0,0,3,41,7.6,0.3,4.8,0
374,363,Tevin Jones,PIT,27,WR,5,0,10,4,40.0%,61,15.3,0,1,28,6.1,0.8,12.2,0
377,366,Johnny Mundt,LAR,25,TE/te,13,2,7,4,57.1%,26,6.5,0,1,9,3.7,0.3,2.0,0
378,367,JJ Nelson,OAK,27,WR/wr,2,1,5,4,80.0%,36,9.0,1,1,29,7.2,2.0,18.0,0
379,368,Trent Sherfield,ARI,23,WR/wr,16,1,13,4,30.8%,80,20.0,0,4,38,6.2,0.3,5.0,0
380,369,Lee Smith,BUF,32,TE/te,16,5,5,4,80.0%,31,7.8,1,2,9,6.2,0.3,1.9,0
381,370,Ross Travis,IND,26,TE/te,3,1,6,4,66.7%,51,12.8,0,1,25,8.5,1.3,17.0,1
382,371,Clive Walford,MIA,28,TE/te,7,3,8,4,50.0%,57,14.3,0,4,19,7.1,0.6,8.1,0
383,372,DeAndrew White,CAR,28,WR,10,0,9,4,44.4%,51,12.8,0,3,18,5.7,0.4,5.1,0
384,373,Mike Boone,MIN,24,RB/rb,16,2,4,3,75.0%,17,5.7,0,0,7,4.3,0.2,1.1,0
385,374,Cody Core,NYG,25,WR,16,0,5,3,60.0%,28,9.3,0,2,11,5.6,0.2,1.8,0
386,375,Geremy Davis,LAC,27,WR/wr,7,1,3,3,100.0%,38,12.7,0,1,19,12.7,0.4,5.4,0
387,376,Robert Foster,BUF,25,WR/wr,13,2,18,3,16.7%,64,21.3,0,3,24,3.6,0.2,4.9,0
388,377,Devin Funchess,IND,25,WR/wr,1,1,5,3,60.0%,32,10.7,0,2,16,6.4,3.0,32.0,0
389,378,Jon Hilliman,NYG,24,RB/rb,3,1,4,3,75.0%,1,0.3,0,0,5,0.3,1.0,0.3,2
390,379,Johnny Holton,PIT,28,WR/wr,16,3,15,3,20.0%,21,7.0,0,1,18,1.4,0.2,1.3,0
391,380,T.J. Jones,NYG,27,WR,3,0,4,3,75.0%,38,12.7,1,2,28,9.5,1.0,12.7,3
392,381,Lance Kendricks,LAC,31,TE/te,12,1,7,3,42.9%,50,16.7,0,3,24,7.1,0.3,4.2,0
393,382,Chris Lacy,DET,23,WR/wr,7,2,10,3,30.0%,60,20.0,0,2,48,6.0,0.4,8.6,0
394,383,Marqise Lee,JAX,28,WR/wr,6,1,4,3,75.0%,18,6.0,0,2,8,4.5,0.5,3.0,0
395,384,Chris Moore,BAL,26,WR/wr,14,1,5,3,60.0%,21,7.0,0,0,13,4.2,0.2,1.5,0
396,385,Stanley Morgan,CIN,23,WR,11,0,10,3,30.0%,18,6.0,0,0,9,1.8,0.3,1.6,0
397,386,Josh Oliver,JAX,22,TE/te,4,1,6,3,50.0%,15,5.0,0,0,6,2.5,0.8,3.8,0
398,387,Devine Ozigbo,JAX,23,RB,10,0,5,3,60.0%,23,7.7,0,1,12,4.6,0.3,2.3,0
399,388,Andre Roberts,BUF,31,WR,13,0,7,3,42.9%,20,6.7,0,1,7,2.9,0.2,1.5,1
400,389,Russell Shepard,NYG,29,WR,3,0,8,3,37.5%,25,8.3,0,1,12,3.1,1.0,8.3,0
402,390,Benny Snell,PIT,21,RB/rb,13,2,4,3,75.0%,23,7.7,0,0,14,5.8,0.2,1.8,1
404,392,Bobo Wilson,TAM,24,WR/wr,6,1,11,3,27.3%,35,11.7,0,2,14,3.2,0.5,5.8,3
405,393,Jeff Wilson,SFO,24,RB,10,0,5,3,60.0%,34,11.3,1,1,25,6.8,0.3,3.4,0
406,394,Deon Yelder,KAN,24,TE/te,9,1,4,3,75.0%,50,16.7,0,2,24,12.5,0.3,5.6,0
407,395,Olamide Zaccheaus,ATL,22,WR,10,0,5,3,60.0%,115,38.3,1,2,93,23.0,0.3,11.5,0
408,396,Alex Armah,CAR,25,FB/fb/RB,16,1,2,2,100.0%,6,3.0,0,0,4,3.0,0.1,0.4,0
409,397,Chad Beebe,MIN,25,WR,3,0,2,2,100.0%,70,35.0,0,2,61,35.0,0.7,23.3,3
410,398,Josh Bellamy,NYJ,30,WR,7,0,3,2,66.7%,20,10.0,0,1,15,6.7,0.3,2.9,0
412,400,C.J. Board,JAX,26,WR,4,0,4,2,50.0%,31,15.5,0,1,23,7.8,0.5,7.8,0
413,401,Fred Brown,DEN,26,WR/wr,13,1,3,2,66.7%,21,10.5,0,1,16,7.0,0.2,1.6,1
414,402,Malcolm Brown,LAR,26,RB/rb,14,1,6,2,33.3%,16,8.0,0,0,10,2.7,0.1,1.1,0
415,403,Pharaoh Brown,CLE,25,TE/te,9,6,3,2,66.7%,27,13.5,0,1,18,9.0,0.2,3.0,0
416,404,Deontay Burnett,PHI,22,WR/wr,1,1,4,2,50.0%,48,24.0,0,1,41,12.0,2.0,48.0,0
417,405,Cethan Carter,CIN,24,TE,15,0,3,2,66.7%,13,6.5,1,2,8,4.3,0.1,0.9,0
419,407,Ashton Dulin,IND,22,WR,13,0,2,2,100.0%,17,8.5,0,0,13,8.5,0.2,1.3,0
421,409,Rico Gafford,OAK,23,WR/wr,4,1,2,2,100.0%,66,33.0,1,2,49,33.0,0.5,16.5,0
422,410,Wes Hills,DET,24,RB/rb,1,1,2,2,100.0%,1,0.5,0,0,2,0.5,2.0,1.0,0
423,411,Alexander Hollins,MIN,23,WR/wr,5,1,4,2,50.0%,46,23.0,0,2,35,11.5,0.4,9.2,0
424,412,Cody Hollister,TEN,26,WR,5,0,2,2,100.0%,13,6.5,0,0,11,6.5,0.4,2.6,0
425,413,Tanner Hudson,TAM,25,TE/te,9,1,5,2,40.0%,26,13.0,0,1,14,5.2,0.2,2.9,0
426,414,Ishmael Hyman,TAM,24,WR/wr,2,1,4,2,50.0%,34,17.0,0,2,31,8.5,1.0,17.0,0
427,415,Darius Jennings,TEN,27,WR,8,0,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.1,0
428,416,T.J. Logan,TAM,25,RB,12,0,3,2,66.7%,13,6.5,0,1,11,4.3,0.2,1.1,0
429,417,Steven Mitchell,HOU,25,WR/wr,3,1,6,2,33.3%,37,18.5,0,2,21,6.2,0.7,12.3,0
430,418,Jason Moore,LAC,24,WR,10,0,5,2,40.0%,43,21.5,0,2,32,8.6,0.2,4.3,0
431,419,Isaac Nauta,DET,22,TE,6,0,3,2,66.7%,13,6.5,0,1,10,4.3,0.3,2.2,0
434,421,Gunner Olszewski,NWE,23,WR,8,0,4,2,50.0%,34,17.0,0,1,29,8.5,0.3,4.3,1
435,422,Elijhaa Penny,NYG,26,RB/rb,16,1,4,2,50.0%,9,4.5,0,0,9,2.3,0.1,0.6,0
436,423,Troymaine Pope,LAC,26,RB,14,0,3,2,66.7%,14,7.0,1,1,13,4.7,0.1,1.0,1
437,424,Eric Saubert,CHI,25,TE,2,0,3,2,66.7%,21,10.5,0,1,11,7.0,1.0,10.5,0
438,425,Da'Mari Scott,NYG,24,WR/wr,5,2,3,2,66.7%,22,11.0,0,2,11,7.3,0.4,4.4,0
440,427,Scott Simonson,NYG,27,TE/te,5,1,2,2,100.0%,11,5.5,0,1,10,5.5,0.4,2.2,0
441,428,Cam Sims,WAS,23,WR/wr,7,1,3,2,66.7%,27,13.5,0,1,15,9.0,0.3,3.9,0
442,429,Mike Thomas,LAR,25,WR,16,0,5,2,40.0%,14,7.0,0,1,9,2.8,0.1,0.9,0
443,430,Levine Toilolo,SFO,28,TE,13,0,2,2,100.0%,10,5.0,0,0,8,5.0,0.2,0.8,0
444,431,Michael Walker,JAX,23,WR,7,0,3,2,66.7%,15,7.5,0,1,9,5.0,0.3,2.1,2
445,432,Trevon Wesco,NYJ,24,TE/te,16,1,3,2,66.7%,47,23.5,0,2,32,15.7,0.1,2.9,0
448,435,Javorius Allen,NYG,28,RB,10,0,2,1,50.0%,9,9.0,0,0,9,4.5,0.1,0.9,0
449,436,Antony Auclair,TAM,26,TE/te,8,5,3,1,33.3%,11,11.0,0,1,11,3.7,0.1,1.4,0
453,440,Ventell Bryant,DAL,23,WR,12,0,1,1,100.0%,15,15.0,1,1,15,15.0,0.1,1.3,0
455,442,Austin Carr,NOR,26,WR/wr,6,3,4,1,25.0%,9,9.0,0,1,9,2.3,0.2,1.5,0
456,443,Sean Culkin,LAC,26,TE/te,4,2,2,1,50.0%,12,12.0,0,1,12,6.0,0.3,3.0,0
458,445,Darrell Daniels,ARI,25,TE,11,0,3,1,33.3%,4,4.0,0,1,4,1.3,0.1,0.4,0
460,447,Rashard Davis,TEN,25,WR,1,0,1,1,100.0%,16,16.0,0,1,16,16.0,1.0,16.0,0
465,451,Quincy Enunwa,NYJ,27,WR/wr,1,1,3,1,33.3%,-4,-4.0,0,0,8,-1.3,1.0,-4.0,1
466,452,Zach Gentry,PIT,23,TE,4,0,1,1,100.0%,4,4.0,0,1,4,4.0,0.3,1.0,0
467,453,Cyril Grayson,TAM,26,WR,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0
468,454,Xavier Grimble,PIT,27,TE/te,3,1,3,1,33.3%,3,3.0,0,0,3,1.0,0.3,1.0,0
469,455,Dwayne Harris,OAK,32,WR,3,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.3,2.3,0
470,456,Chris Herndon,NYJ,23,TE,1,0,2,1,50.0%,7,7.0,0,0,7,3.5,1.0,7.0,0
471,457,Krishawn Hogan,NOR,24,WR,8,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.1,0.5,0
473,459,Charles Jones,JAX,23,TE,4,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.3,1.3,0
474,460,Taiwan Jones,HOU,31,RB,11,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.1,0.8,0
476,462,Ben Koyack,JAX,26,TE/te,11,6,3,1,33.3%,9,9.0,0,0,9,3.0,0.1,0.8,0
477,463,Chris Manhertz,CAR,27,TE/te,15,6,1,1,100.0%,11,11.0,0,1,11,11.0,0.1,0.7,0
478,464,Codey McElroy,TAM,27,WR,1,0,1,1,100.0%,30,30.0,0,1,30,30.0,1.0,30.0,0
480,466,Qadree Ollison,ATL,23,RB,8,0,2,1,50.0%,7,7.0,0,1,7,3.5,0.1,0.9,1
482,468,Paul Perkins,DET,25,RB,4,0,1,1,100.0%,9,9.0,0,0,9,9.0,0.3,2.3,0
483,469,Senorise Perry,BUF,28,RB,11,0,1,1,100.0%,1,1.0,0,0,1,1.0,0.1,0.1,0
488,474,Bo Scarbrough,DET,23,RB/rb,6,5,4,1,25.0%,5,5.0,0,0,5,1.3,0.2,0.8,1
489,475,Dalton Schultz,DAL,23,TE,16,0,2,1,50.0%,6,6.0,0,0,6,3.0,0.1,0.4,0
490,476,Jaleel Scott,BAL,24,WR,3,0,3,1,33.3%,6,6.0,0,0,6,2.0,0.3,2.0,0
492,478,Darrius Shepherd,GNB,24,WR,6,0,2,1,50.0%,1,1.0,0,0,1,0.5,0.2,0.2,1
493,479,Jeff Smith,NYJ,22,WR,1,0,2,1,50.0%,12,12.0,0,1,12,6.0,1.0,12.0,0
496,481,Tyrone Swoopes,SEA,25,TE/te,5,2,1,1,100.0%,5,5.0,0,0,5,5.0,0.2,1.0,0
499,484,Jordan Thomas,HOU,23,TE/te,5,2,3,1,33.3%,8,8.0,0,0,8,2.7,0.2,1.6,0
501,486,John Ursua,SEA,25,WR,3,0,1,1,100.0%,11,11.0,0,1,11,11.0,0.3,3.7,0
503,488,Dwayne Washington,NOR,25,RB,16,0,1,1,100.0%,6,6.0,0,0,6,6.0,0.1,0.4,0
505,490,Kerrith Whyte,PIT,23,RB,6,0,1,1,100.0%,9,9.0,0,1,9,9.0,0.2,1.5,0
